demand_id,stop_id,distance_m,improvement
736,1149,118.17361764052923,18.11105398012664
736,1150,82.74903228286117,53.535639337794706
736,1151,74.10760757169267,62.1770640489632
739,1142,135.31457850597621,40.89482506332823
739,1148,151.6522157149377,24.55718785436673
739,1149,94.0211080024055,82.18829556689894
739,1150,44.308929686915256,131.90047388238918
739,1151,32.87612878290265,143.3332747864018
740,1142,159.79783370324517,19.96353154941417
740,1148,152.7624151051233,26.99895014753605
740,1149,94.35297756297891,85.40838768968044
740,1150,43.650243412837916,136.11112183982144
740,1151,28.042587590127983,151.71877766253135
741,1116,115.62324322989734,4.858634297388889
744,1113,192.12408506613636,33.28289928383893
744,1114,85.04314162529509,140.36384272468018
744,1115,85.2217236829906,140.18526066698468
744,1116,118.39463274363412,107.01235160634117
744,1117,173.40401703824512,52.002967311730174
744,1118,216.40757445443077,8.999409895544517
745,1113,202.70443962515967,22.928558848024664
745,1114,84.14466244955767,141.48833602362666
745,1115,43.36477725354992,182.26822121963443
745,1116,79.71920937735145,145.9137890958329
745,1117,142.12297986690962,83.51001860627471
745,1118,184.6526722660682,40.98032620711612
746,1114,150.1211359827456,1.0633927189373367
747,1113,194.25301638584662,1.4202404417025036
747,1114,111.28496641505537,84.38829041249376
747,1115,132.8344246609289,62.83883216662022
747,1116,163.33839012155104,32.33486670599808
835,1114,132.8930344064353,43.16796798336139
835,1115,87.29567661831828,88.76532577147842
835,1116,122.18839513738611,53.87260725241059
836,1114,151.54070719611943,29.083752145631962
836,1115,152.9215740584042,27.7028852833472
837,1114,133.46374156489094,42.307538707939756
837,1115,114.02970418930323,61.74157608352746
837,1116,150.30682161831513,25.464458654515568
932,1142,123.91839867933253,62.3763631398072
932,1149,143.119323031518,43.175438787621715
932,1150,89.57298874381718,96.72177307532255
932,1151,39.42719754496888,146.86756427417083
934,1150,113.86565205868713,23.01419945350584
934,1151,79.12050737640654,57.759344135786435
936,1142,76.84491281145421,43.01842082314816
936,1150,114.62634609351377,5.236987541088595
936,1151,84.51867397208737,35.344659662515
937,1141,159.70711719034315,10.14515088032465
937,1142,90.16904696873534,79.68322110193246
937,1149,142.9007522723376,26.951515798330206
937,1150,89.89581643491537,79.95645163575243
937,1151,42.999500360469305,126.85276771019849
998,1146,152.17872151273318,11.83977258549345
998,1147,104.61170763829448,59.40678645993215
998,1148,57.58234592737604,106.43614817085059
998,1149,27.2244002459191,136.79409385230753
998,1150,68.33291094889782,95.6855831493288
998,1151,119.37401832057091,44.644475777655714
999,1148,93.02521919485059,21.69805519836048
999,1149,76.18193683544676,38.54133755776431
999,1150,98.03801877333099,16.68525561988008
1000,1146,163.86119793135896,25.78875716684294
